"Val idag (PSU), procent efter parti och 2 ggr/år"

"parti","1972M11","1973M02","1973M05","1973M11","1974M05","1974M11","1975M05","1975M11","1976M02","1976M05","1976M11","1977M05","1977M11","1978M05","1978M11","1979M02","1979M05","1979M11","1980M05","1980M11","1981M05","1984M05","1984M11","1985M05","1985M11","1986M05","1986M11","1987M05","1987M11","1988M02","1988M05","1988M11","1989M05","1989M11","1990M05","1990M11","1991M05","1991M11","1992M05","1992M11","1993M05","1993M11","1994M05","1994M11","1995M05","1995M11","1996M05","1996M11","1997M05","1997M11","1998M05","1998M11","1999M05","1999M11","2000M05","2000M11","2001M05","2001M11","2002M05","2002M11","2003M05","2003M11","2004M05","2004M11","2005M05","2005M11","2006M05","2006M11","2007M05","2007M11","2008M05","2008M11","2009M05","2009M11","2010M05","2010M11","2011M05","2011M11","2012M05","2012M11","2013M05","2013M11","2014M05","2014M11","2015M05","2015M11","2016M05","2016M11","2017M05","2017M11","2018M05","2018M11"
"C",26.7,26.3,25.6,26.6,25.9,25.1,24.7,23.9,23.5,22.8,23.5,22.8,21.8,20.3,20.6,19.9,21.1,18.0,16.5,15.6,12.8,14.7,14.4,12.6,9.7,10.3,10.4,9.9,9.4,9.8,9.3,11.8,12.2,11.0,11.6,10.7,9.8,8.1,6.5,6.5,6.2,6.6,7.9,7.6,8.3,6.8,6.8,6.9,6.8,6.1,5.9,5.0,4.7,4.5,4.6,4.6,7.2,5.8,5.4,5.8,6.5,6.6,6.6,6.7,6.5,5.9,6.2,7.1,6.5,6.2,6.2,5.9,5.5,5.0,4.6,5.8,4.5,5.5,4.7,4.4,4.2,4.7,4.9,6.0,6.4,6.5,6.1,7.1,11.3,9.5,8.7,8.6
"L",13.4,13.0,12.5,8.7,8.2,8.5,7.6,8.9,10.1,10.8,11.0,9.3,9.6,10.1,12.1,13.7,13.6,10.0,8.7,7.2,6.4,6.2,6.6,6.5,17.9,16.7,16.0,16.0,16.0,16.6,15.2,11.9,12.1,12.4,12.5,11.9,10.0,8.8,6.7,6.8,7.2,6.8,6.7,6.6,7.1,5.2,5.9,6.5,5.9,6.5,6.8,4.9,4.2,5.3,5.2,4.6,4.9,4.9,5.1,13.7,14.5,13.6,11.7,12.0,11.7,11.1,10.9,6.8,5.9,6.5,6.8,6.0,5.5,6.5,5.8,6.8,6.0,5.6,5.5,5.5,6.0,5.4,5.3,5.3,4.9,5.5,5.4,5.0,5.0,4.2,4.4,4.3
"M",10.9,11.4,12.8,14.0,14.1,14.3,15.1,15.3,15.3,16.9,15.0,14.5,14.5,15.5,15.6,15.5,16.0,21.0,21.0,20.8,22.6,25.9,27.8,27.6,20.4,18.8,20.4,18.8,19.9,18.9,20.6,17.8,20.4,24.2,26.2,29.1,23.4,22.5,20.0,21.4,19.6,19.6,21.8,22.9,25.1,25.7,25.7,25.8,30.4,29.2,27.2,24.6,26.4,25.2,24.6,23.9,23.6,23.8,21.9,15.3,16.8,20.0,21.6,23.4,27.7,25.9,25.9,24.9,23.9,22.6,22.4,24.8,29.9,26.2,29.2,32.4,31.1,33.4,28.6,28.1,26.9,25.5,22.7,24.2,25.6,23.5,24.7,22.8,18.1,22.2,22.6,19.2
"KD",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.1,6.8,5.0,4.4,4.5,4.3,4.4,4.2,4.0,3.8,3.7,4.7,4.6,4.6,4.7,11.1,11.9,11.1,10.9,12.5,10.1,9.6,9.2,8.5,8.2,7.0,6.2,5.5,4.4,4.8,5.8,5.7,4.4,4.6,4.6,4.5,4.3,4.8,4.5,4.3,3.8,3.8,3.7,3.8,3.6,4.1,3.9,3.7,3.7,3.5,3.1,3.1,3.2,3.1,2.9,5.4
"NYD",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.7,6.8,9.6,8.3,5.8,5.3,2.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"S",40.6,41.3,41.3,43.9,44.7,44.6,45.1,44.3,44.0,42.3,43.8,47.6,48.1,47.7,45.2,44.2,42.0,43.8,46.5,48.9,50.6,44.4,41.7,43.7,43.6,46.4,44.9,42.8,42.0,43.2,42.6,43.8,39.3,36.2,32.8,31.2,32.1,39.1,46.0,45.8,49.8,50.8,50.1,44.9,36.0,34.2,36.9,34.7,34.9,39.2,40.1,36.3,34.1,36.1,35.4,35.3,36.7,39.9,43.1,41.3,38.3,36.9,37.7,37.9,34.7,37.1,37.5,40.4,45.0,45.9,44.7,42.3,36.6,36.5,33.8,29.0,34.0,27.7,37.3,34.8,35.6,34.3,35.3,32.2,30.0,27.6,29.5,29.2,31.1,32.6,28.3,30.5
"V",5.7,5.2,5.2,4.8,5.0,5.1,5.2,5.0,4.8,4.8,4.6,4.1,4.1,4.4,4.6,4.7,4.9,5.7,5.6,5.4,5.4,4.5,4.8,5.0,5.1,4.3,4.5,4.1,4.2,4.4,4.7,5.5,6.2,7.0,7.8,6.4,5.4,4.1,3.1,3.4,3.4,3.5,3.9,6.7,12.9,11.7,11.6,12.0,10.4,8.4,8.5,12.0,13.2,12.2,13.3,14.0,12.6,11.4,10.4,9.1,9.1,9.3,9.5,7.6,7.0,5.7,5.8,5.4,5.0,5.1,5.1,5.7,5.7,5.1,5.6,4.7,4.5,5.2,5.9,5.8,6.4,6.7,8.0,5.7,6.2,5.5,6.8,7.7,6.3,7.0,7.4,8.4
"MP",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.7,6.2,5.7,4.7,4.0,2.6,3.1,2.5,2.6,2.9,2.5,2.6,6.7,6.0,12.1,8.7,7.4,6.4,4.9,5.7,4.3,4.1,4.5,4.6,3.7,3.4,3.3,3.2,3.9,4.6,4.5,4.6,4.7,4.4,4.1,4.7,5.5,5.5,5.2,5.9,6.1,6.0,8.4,10.7,8.8,8.9,11.7,8.1,8.6,8.5,8.8,8.0,7.2,6.6,5.9,4.7,4.5,4.5,3.8,4.3,4.0
"SD",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.7,5.7,5.7,5.4,7.9,7.7,9.3,8.1,12.4,14.4,19.9,17.3,17.5,18.4,14.8,18.5,18.3
"övriga",2.6,2.6,2.6,2.0,2.2,2.4,2.4,2.6,2.3,2.3,2.1,1.7,1.9,1.9,1.9,2.0,2.4,1.5,1.8,2.1,2.2,4.2,4.7,4.6,3.3,3.5,3.8,8.4,8.4,7.1,7.6,3.5,3.5,3.5,4.4,6.8,0.8,0.6,0.5,0.8,0.6,0.6,0.4,0.5,0.7,0.6,0.7,2.1,0.7,1.1,1.1,1.8,1.4,1.2,1.4,1.4,1.6,1.3,1.7,2.5,2.1,2.2,2.2,2.2,3.5,5.5,3.3,4.2,4.0,3.9,4.2,4.7,6.4,7.5,5.7,1.5,1.5,1.4,0.8,1.2,1.1,1.3,3.9,3.2,2.3,2.1,2.4,3.2,2.2,2.6,2.9,1.2
